id_fundo,fundo,cnpj,ticker,data_informacao,total_cotistas,patrimonio_liquido,data_pregao,preco_fechamento,volume_negociado
52,RB GEN SHOPPING SULACAP FUNDO DE INVESTIMENTO IMOB. – FII,13652006000195,RBGS11,2021-11-01,2808.0,97865283.71,2023-04-19,28.45,0.0
53,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,10991914000115,CXCE11B,2023-03-01,3974.0,111628383.84,2023-04-27,40.06,1336.0
54,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVEST IMOB,17590518000125,FIGS11,2023-03-01,15291.0,217510611.45,2023-04-27,48.58,4097.0
55,BRADESCO CARTEIRA IMOBILIARIA ATIVA FII,20216935000117,BCIA11,2023-03-31,14171.0,357768939.49,2023-04-27,85.04,1651.0
56,BANRISUL NOVAS FRONTEIRAS FII,15570431000160,BNFS11,2023-03-01,4053.0,64110281.93,2023-04-27,117.49,472.0
57,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,08696175000197,FIIP11B,2023-03-01,7941.0,172954872.36,2023-04-27,145.79,536.0
58,FII EDIFÍCIO OURINVEST,06175262000173,EDFO11B,2023-03-01,540.0,42629263.83,2023-04-27,197.0,8.0
59,BANESTES RECEBIVEIS IMOBILIARIOS FII,22219335000138,BCRI11,2023-03-01,46816.0,617910034.79,2023-04-27,69.69,13295.0
60,RIO BRAVO FUNDO - FII,17329029000114,FIXX11,2023-03-01,19702.0,229918432.37,,,
61,FATOR VERITA FII,11664201000100,VRTA11,2023-03-01,120325.0,1438101963.07,2023-04-27,83.0,35817.0
62,BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOB FII,20716161000193,BBIM11,2023-03-01,20.0,31715438.46,,,
63,NEWPORT RENDA URBANA FII,14793782000178,NEWU11,2023-03-01,1584.0,51068854.58,2023-04-27,70.89,22.0
64,SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO,18311024000127,SPAF11,2023-03-01,1.0,11352674.76,,,
65,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,17025970000144,NVHO11,2023-03-01,2220.0,579646874.18,2023-04-27,12.54,253.0
66,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,17144039000185,CBOP11,2023-03-01,3538.0,104576322.61,2023-04-27,35.8,175.0
67,HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,12809972000100,ATSA11B,2023-03-01,280.0,142848791.89,,,
68,VILA OLIMPIA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,15296696000112,VLOL11,2023-03-01,3144.0,187599532.5,2023-04-27,97.05,0.0
69,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08431747000106,HGBS11,2023-03-01,90096.0,2189632992.76,2023-04-27,197.05,6186.0
70,BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,14410722000129,BBPO11,2023-03-31,74353.0,1604635898.33,2023-04-27,86.54,13644.0
71,CIDADE JARDIM CONTINENTAL TOWER FII,10347985000180,CJCT11,2023-03-01,1189.0,205750284.32,2023-04-27,61.01,3.0
72,CSHG GR LOUVEIRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,17143998000186,GRLV11,2020-11-01,2604.0,6407890.29,2023-04-27,145.5,0.0
73,FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,08693497000182,VERE11,2023-03-31,54.0,205583304.88,2023-04-27,257.0,0.0
74,CSHG PRIME OFFICES FUNDO DE INVEST IMOBILIÁRIO FII,11260134000168,HGJH11,2023-03-01,10046.0,524636581.29,,,
75,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FII - FII,11945604000127,RBDS11,2023-03-31,937.0,2506063.53,2023-04-27,2.45,110.0
76,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11728688000147,HGLG11,2023-03-01,340959.0,3577143616.9,2023-04-27,162.46,32538.0
77,FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,09006914000134,RBRD11,2023-03-31,9497.0,122197478.5,2023-04-27,33.5,1238.0
78,CAPITANIA SEC II FII,18979895000113,CPTS11B,2023-03-31,214019.0,2809831615.79,2023-04-27,103.99,0.0
79,CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,09072017000129,HGRE11,2023-03-01,138834.0,1853864603.15,2023-04-27,127.0,39063.0
80,BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,15394563000189,RNDP11,2023-03-31,1136.0,21276374.36,2023-04-27,110.0,1476.0
81,CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INVEST IMOBILIÁRIO FII,11160521000122,HGCR11,2023-03-01,88885.0,1568178886.78,2023-04-27,102.68,39819.0
82,BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,12681340000104,BBRC11,2023-03-31,9286.0,171731700.66,2023-04-27,93.22,1083.0
83,POLO FII RECEBÍVEIS IMOBILIÁRIOS I,14080689000116,PLRI11,2023-03-01,775.0,30019685.9,2023-04-27,22.07,240.0
84,CSHG TOP FOFII 2 FUNDO DE INVESTIMENTO IMOBILIARIO – FII,16875388000104,FOFT11,2019-12-01,3846.0,131819480.59,2023-04-27,122.9,0.0
85,XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,16802320000103,XPCM11,2023-03-01,26823.0,104359429.79,2023-04-27,13.41,7906.0
86,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,21126204000143,BVAR11,2023-03-01,69.0,679254378.75,2023-04-27,100.01,0.0
87,CSHG TOP FOFII FUNDO DE INVESTIMENTO IMOBILIARIO – FII,20834884000197,TFOF11,2020-06-01,3278.0,103080374.68,2023-04-19,138.0,0.0
88,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,13371132000171,JSRE11,2023-03-01,89641.0,2340463888.92,2023-04-27,67.83,35182.0
89,FII BRASIL PLURAL ABSOLUTO FUNDOS DE FUNDOS,17324357000128,BPFF11,2023-03-01,19249.0,317536370.2,2023-04-27,62.52,9065.0
90,SINGULARE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,16841067000199,REIT11,2023-03-31,67.0,7686063.66,2023-04-27,178.0,0.0
91,SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,15538445000105,SPTW11,2023-03-01,31286.0,100482891.3,2023-04-27,38.51,2123.0
92,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,17098794000170,CXRI11,2023-03-01,2406.0,124147541.53,2023-04-27,62.51,12.0
93,JHSF RIO BRAVO FAZENDA BOA VISTA CAPITAL PROTEGIDO FII,16915868000151,RBBV11,2021-06-01,3475.0,126470249.69,2023-04-27,100.0,0.0
94,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORPORATE,17311079000174,SAIC11,2023-03-01,50.0,79597578.78,2023-04-27,37.88,0.0
95,REAG MULTI ATIVOS IMOBILIÁRIOS - FII,17374696000119,DOMC11,2023-03-01,1185.0,244760897.87,2023-04-27,439.0,0.0
96,FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,12948291000123,ONEF11,2023-03-01,3106.0,183631284.03,2023-04-27,178.45,0.0
97,DRIT11 FII,10456810000100,DRIT11B,2023-03-31,355.0,61280546.3,2023-04-27,87.16,0.0
98,FUNDO DE INVESTIMENTO IMOBILIÁRIO RB OPORTUNIDADES - FII,13500306000159,MBRF11,2023-03-01,3635.0,78411551.49,2023-04-19,679.0,0.0
99,FUNDO DE INV. IMOBILIÁRIO SHOPPING PÁTIO HIGIENÓPOLIS,03507519000159,SHPH11,2023-03-01,2548.0,545547644.23,2023-04-27,620.0,208.0
100,FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,04141645000103,FLMA11,2023-03-01,16519.0,221802276.65,2023-04-27,122.39,829.0
101,SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,01657856000105,SCPF11,2023-03-01,5159.0,49228205.74,2023-04-27,5.0,478.0
102,FUNDO DE INV. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,17161979000182,FPNG11,2023-03-01,68.0,174508476.84,2023-04-27,68.68,0.0
103,BM BRASCAN LAJES FII,14376247000111,BMLC11B,2023-03-31,1432.0,113120879.74,2023-04-27,95.72,0.0
104,ANHANGUERA FII,11179118000145,FAED11B,2023-03-31,4770.0,139739297.89,,,
105,MAX RETAIL FII,11274415000170,MAXR11B,2023-03-31,4265.0,139311049.97,,,
106,BC FUND FII,08924783000101,BRCR11,2023-03-31,156531.0,2636539289.5,2023-04-27,55.0,18261.0
107,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SHOPPING JARDIM SUL,14879856000193,JRDM11B,2023-03-01,4173.0,223323948.83,,,
108,FUNDO DE FUNDOS FII,11026627000138,BCFF11B,2023-03-31,304974.0,1811005977.9,,,
109,BTG CRÉDITO IMOB FII,09552812000114,FEXC11B,2023-03-31,51056.0,1009495849.51,,,
110,TRANSINC FII,17007443000107,TSNC11,2023-03-31,67.0,95780725.33,2023-04-27,0.01,0.0
111,PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,11281322000172,PRSV11,2023-03-01,1008.0,42247192.35,2023-04-27,88.0,39.0
112,MERITO DESENVOLVIMENTO IMOBILIARIO I FII,16915968000188,MFII11,2023-03-01,28286.0,429466203.87,2023-04-27,89.95,3557.0
113,FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA,12887506000143,CXTL11,2023-03-01,636.0,25009895.8,2023-04-27,359.0,63.0
114,BB PROGRESSIVO FII,07000400000146,BBFI11B,2023-03-31,8144.0,282406308.19,2023-04-27,1411.0,124.0
115,FII MAXI RENDA,97521225000125,MXRF11,2023-03-31,808458.0,2276171292.76,2023-04-27,10.47,771598.0
116,XP RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,13811400000129,XPGA11,2017-04-01,3987.0,103854077.76,,,
117,FII CYRELA THERA CORPORATE,13966653000171,THRA11,2021-07-01,2084.0,14050683.35,2023-04-19,138.5,0.0
118,2509 FUNDO DE INVESTIMENTO IMOBILIARIO - FII,19419994000103,,2023-03-01,1.0,2782095914.07,,,
119,WM RB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,12834763000117,WMRB11B,2017-04-01,224.0,28308328.49,,,
120,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26614291000100,GGRC11,2023-03-31,102262.0,1018537085.56,2023-04-27,110.59,12382.0
121,VECTOR QUELUZ LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOB.,13842683000176,VLJS12,2023-03-31,9.0,27051889.02,,,
122,JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,17216625000198,JPPC11,2023-03-01,89.0,19991902.15,2023-04-27,121.0,15.0
123,POLO CREDITO IMOBILIARIO – FUNDO DE INVESTIMENTO IMOBILIARIO,17156502000109,PORD11,2023-03-01,23711.0,365784229.24,2023-04-27,82.62,7051.0
124,OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,26091656000150,OUJP11,2023-03-01,28060.0,324678760.0,2023-04-27,92.39,8404.0
125,FUNDO DE INVESTIMENTO IMOBILIÁRIO PHORBIS,10456799000189,,2023-03-01,2.0,917170387.45,,,
126,FII TG ATIVO REAL,25032881000153,TGAR11,2023-03-31,102504.0,1770493547.79,2023-04-27,111.38,34840.0
127,DOVEL FII,10522648000181,DOVL11B,2023-03-01,51.0,79684045.84,2023-04-27,1199.95,0.0
128,FII ANCAR IC,07789135000127,ANCR11,2023-03-01,67.0,1553043909.36,2023-04-27,3450.0,0.0
129,CEO CYRELA FII,15799397000109,CEOC11,2023-03-31,4840.0,142692486.61,2023-04-27,52.9,264.0
130,RBR ALPHA FII,27529279000151,RBRF11,2023-03-31,97519.0,1055982743.68,2023-04-27,67.0,31183.0
131,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,17554274000125,VISC11,2023-03-01,240425.0,2303031088.29,2023-04-27,107.1,38795.0
132,FII REC RECEBÍVEIS IMOBILIÁRIOS,28152272000126,UBSR11,2023-03-01,183264.0,2514926804.0,2023-04-27,102.5,0.0
133,FUNDO DE INVESTIMENTO IMOBILIARIO HABITAT I,26846202000142,HBTT11,2020-09-30,242.0,159726645.53,2023-04-27,1055.0,0.0
134,FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO,17007528000195,GESE11,2023-03-31,56.0,92216577.4,2023-04-19,1520.0,0.0
138,PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,14056001000162,PRSN11B,2023-03-01,763.0,15378787.72,2023-04-27,1.51,0.0
139,BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,13584584000131,CARE12,2023-03-31,11620.0,298691504.18,,,
140,OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,01235622000161,FTCE11B,2023-03-01,57.0,2787005179.82,2023-04-27,2870.0,0.0
141,MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,26499833000132,MALL11,2023-03-31,112311.0,1097513198.04,2023-04-27,102.6,22224.0
142,ALIANZA TRUST RI FII,28737771000185,ALZR11,2023-03-31,118972.0,732928810.46,2023-04-27,117.43,13085.0
143,XP MALLS FII,28757546000100,XPML11,2023-03-31,308245.0,2101487966.93,2023-04-27,103.73,111941.0
144,IRIDIUM REC IMOB FII,28830325000110,IRDM11,2023-03-31,281160.0,3261837028.68,2023-04-27,77.17,76040.0
