id_fundo_imobiliario,cnpj,fundo,ticker,visivel,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,rent_efetiva_mensal,ano_mes_x,data_ultimo_preco,preco_fechamento,volume_negociado,ano_mes_y
120,26614291000100,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,GGRC11,True,2023-03-31,102262.0,1018537085.56,0.0,0.013885,2023-03-01,2023-04-27,110.59,12382.0,2023-04-01
262,35652102000176,VBI PRIME FII,PVBI11,True,2023-03-31,97542.0,1240903544.55,0.005412,0.005496,2023-03-01,2023-04-27,94.99,25706.0,2023-04-01
130,27529279000151,RBR ALPHA FII,RBRF11,True,2023-03-31,97519.0,1055982743.68,0.006788,-0.011779,2023-03-01,2023-04-27,67.0,31183.0,2023-04-01
302,36244015000142,VERSALHES RECEBÍVEIS IMOBILIÁRIOS FII,VSLH11,True,2023-03-31,95041.0,306068442.74,0.00574998,-0.01208578,2023-03-01,2023-04-27,4.02,59503.0,2023-04-01
237,34508872000187,URCA PRIME RENDA FI IMOBILIÁRIO,URPR11,True,2023-03-31,92714.0,1172646917.37,0.0133894,0.02452766,2023-03-01,2023-04-27,91.0,17457.0,2023-04-01
158,21408063000151,FUNDO DE INVESTIMENTO IMOBILIARIO RBR PROPERTIES,RBRP11,True,2023-03-01,92280.0,945548836.61,0.003437,-0.008403,2023-03-01,2023-04-27,48.39,27297.0,2023-04-01
69,08431747000106,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,HGBS11,True,2023-03-01,90096.0,2189632992.76,0.006387,0.005394,2023-03-01,2023-04-27,197.05,6186.0,2023-04-01
276,35864448000138,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,KNSC11,True,2023-03-01,89943.0,1176599335.95,0.011891,0.015543,2023-03-01,2023-04-27,85.78,43106.0,2023-04-01
88,13371132000171,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,JSRE11,True,2023-03-01,89641.0,2340463888.92,0.004079,0.00353,2023-03-01,2023-04-27,67.83,35182.0,2023-04-01
214,28548288000152,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,TRXF11,True,2023-03-01,89314.0,1240433505.05,0.008243,0.011292,2023-03-01,2023-04-27,103.42,74831.0,2023-04-01
81,11160521000122,CSHG RECEBIVEIS IMOBILIÁRIOS FUNDO DE INVEST IMOBILIÁRIO FII,HGCR11,True,2023-03-01,88885.0,1568178886.78,0.011899,0.020443,2023-03-01,2023-04-27,102.68,39819.0,2023-04-01
248,34197811000146,VALORA CRI  FII,VGIP11,True,2023-03-31,85389.0,1081637726.26,0.013254,0.021346,2023-03-01,2023-04-27,80.9,28423.0,2023-04-01
274,36501128000186,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,RZTR11,True,2023-03-31,85238.0,1056219506.67,0.008835,0.002522,2023-03-01,2023-04-27,83.0,27814.0,2023-04-01
185,32274163000159,FUNDO REC RENDA IMOBILIARIA,RECT11,True,2023-03-01,75612.0,793794227.53,0.005794,0.002652,2023-03-01,2023-04-27,50.15,8162.0,2023-04-01
70,14410722000129,BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,BBPO11,True,2023-03-31,74353.0,1604635898.33,0.009135,0.018094,2023-03-01,2023-04-27,86.54,13644.0,2023-04-01
197,28729197000113,FUNDO DE INVESTIMENTO IMOBILIARIO VBI CRI,CVBI11,True,2023-03-01,73515.0,1045066409.08,0.013787,0.0179,2023-03-01,2023-04-27,86.5,19768.0,2023-04-01
204,28516301000191,XP CREDITO IMOBILIÁRIO FII,XPCI11,True,2023-03-01,72515.0,791742254.24,0.010477,0.013985,2023-03-01,2023-04-27,79.06,30210.0,2023-04-01
377,41081088000109,VALORA CRA FIAGRO,VGIA11,True,2023-03-31,71821.0,822255214.43,0.019265,0.017577,2023-03-01,2023-04-27,9.35,500265.0,2023-04-01
145,18307582000119,HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,HFOF11,True,2023-03-01,70710.0,1730940288.27,0.008195,-0.013324,2023-03-01,2023-04-27,66.99,37308.0,2023-04-01
202,30578417000105,HABITAT II - FUNDO DE INVESTIMENTO IMOBI,HABT11,True,2023-03-31,70409.0,804850566.67,0.01264575,0.0145616,2023-03-01,2023-04-27,84.59,28351.0,2023-04-01
175,30629603000118,VBI LOGISTICO FII,LVBI11,True,2023-03-31,69305.0,1360041154.89,0.006688,0.006085,2023-03-01,2023-04-27,101.45,13356.0,2023-04-01
35,24960430000113,KINEA INDICES DE PREÇOS FII,KNIP11,True,2023-03-01,68200.0,7663395544.18,0.01112,0.024621,2023-03-01,2023-04-27,91.17,42972.0,2023-04-01
223,30654849000140,XP PROP. FUNDO DE INVESTIMENTO IMOBILIAR,XPPR11,True,2023-03-31,65320.0,507825213.5,0.00135569,-0.05763972,2023-03-01,2023-04-27,23.2,10010.0,2023-04-01
30,16671412000193,SDI RIO BRAVO RENDA LOGISTICA - FII,SDIL11,True,2023-03-01,64841.0,619902894.1,0.008531,0.004841,2023-03-01,2023-04-27,93.99,9150.0,2023-04-01
339,36642139000186,MAUÁ CAPITAL HED FII,MCHF11,True,2023-03-31,59304.0,298371796.51,0.010231,-0.009762,2023-03-01,2023-04-27,8.07,118778.0,2023-04-01
109,09552812000114,BTG CRÉDITO IMOB FII,BTCI11,True,2023-03-31,51056.0,1009495849.51,0.010937,0.014889,2023-03-01,2023-04-27,9.04,76780.0,2023-04-01
